DHFR-3b-UR90-11	E.	35.500	136	0.877	0.848	3.473E-28	91
DHFR-3b-UR90-14	E.	39.800	123	0.794	0.759	1.738E-28	92
DHFR-3b-UR90-17	E.	37.000	127	0.819	0.759	2.720E-24	81
DHFR-3b-UR90-6	E.	48.200	139	0.897	0.861	6.097E-39	119
DHFR-3b-UR90-25	E.	37.500	136	0.877	0.810	4.157E-32	102
DHFR-170m-UR50-BRn-20	E.	39.600	126	0.774	0.797	1.461E-32	103
DHFR-3b-UR90-10	E.	56.200	64	0.413	0.405	4.879E-25	83
DHFR-3b-UR90-7	E.	42.300	142	0.916	0.880	1.430E-37	116
DHFR-170m-UR90-4	E.	40.400	146	0.942	0.899	4.472E-41	125
DHFR-170m-UR50-8	E.	39.300	132	0.852	0.816	2.727E-35	110
DHFR-3b-GR-HM-12	E.	37.600	130	0.839	0.785	6.144E-29	93
DHFR-3b-UR90-9	E.	36.600	142	0.916	0.842	7.662E-30	96
DHFR-3b-UR90-3	E.	43.300	135	0.871	0.835	1.430E-37	116
DHFR-170m-UR50-BRu-19	E.	36.100	147	0.948	0.930	1.660E-36	113
DHFR-3b-UR90-2	E.	44.200	138	0.890	0.854	4.629E-43	130
DHFR-3b-GR-HM-c-23	E.	35.200	136	0.877	0.791	2.171E-29	94
DHFR-3b-UR90-5	E.	41.600	149	0.961	0.924	4.472E-41	125
DHFR-3b-GR-HM-c-1	E.	37.800	138	0.890	0.854	1.104E-34	108
DHFR-3b-UR90-21	E.	41.600	125	0.806	0.766	1.349E-30	98
DHFR-3b-GR-HM-22	E.	34.300	126	0.813	0.772	1.511E-23	79
DHFR-3b-UR90-16	E.	43.500	117	0.755	0.722	7.662E-30	96
DHFR-3b-GR-HM-c-15	E.	40.900	149	0.961	0.924	1.910E-30	97
DHFR-3b-GR-HM-18	E.	35.700	140	0.903	0.880	1.673E-31	100
DHFR-3b-GR-HM-24	E.	35.600	100	0.645	0.608	2.192E-18	65
DHFR-3b-UR90-13	E.	39.000	123	0.794	0.747	1.386E-27	90
